content,score,label,length,tokens,adjectives,verbs,actionable,feedback_type
very less aesthetic app . dont try waste of time,1,negative,48,"['less', 'aesthetic', 'app', 'dont', 'try', 'waste', 'time']",['aesthetic'],['try'],False,[]
It answer are accurate,2,negative,22,"['answer', 'accurate']",['accurate'],['answer'],False,[]
This app is not better than cloude ai,1,negative,37,"['app', 'better', 'cloude', 'ai']",['better'],"['cloude', 'ai']",False,[]
"If you go on ChatGPT/Sora, it will tell you that it is closing on April 26, 2026. HOWEVER, you already WILL NOT be able to generate videos. Spare yourself the grief and avoid this now, useless site!",1,negative,198,"['go', 'chatgpt', 'sora', 'tell', 'closing', 'april', 'however', 'already', 'able', 'generate', 'videos', 'spare', 'grief', 'avoid', 'useless', 'site']","['able', 'useless']","['go', 'tell', 'closing', 'generate', 'Spare', 'avoid']",False,[]
false information given does not want to see tell the truth,1,negative,59,"['false', 'information', 'given', 'want', 'see', 'tell', 'truth']",['false'],"['given', 'want', 'see', 'tell']",False,"['error', 'request']"
it's app good but free is slow performance and paid is good performance,2,negative,71,"['app', 'good', 'free', 'slow', 'performance', 'paid', 'good', 'performance']","['good', 'free', 'slow', 'good']",['paid'],False,"['pricing', 'ux']"
Stupid app alwasy need pay,1,negative,26,"['stupid', 'app', 'alwasy', 'need', 'pay']",['Stupid'],['pay'],True,"['request', 'pricing']"
super liberal and love the death of unborn babies and chopping kids body parts off,1,negative,82,"['super', 'liberal', 'love', 'death', 'unborn', 'babies', 'chopping', 'kids', 'body', 'parts']","['liberal', 'unborn']","['love', 'chopping']",False,[]
I think you need to increase free facilities. I don't if T I am wrong .,2,negative,71,"['think', 'need', 'increase', 'free', 'facilities', 'wrong']","['free', 'wrong']","['think', 'need', 'increase', 'do']",True,"['request', 'pricing', 'error']"
"I wouldn’t recommend using the ChatGPT app. In my experience, it never follows instructions properly and goes off in its own direction, which can be very frustrating. It ends up wasting your time and making the experience more annoying rather than helpful — it’s a rubbish AI app.",1,negative,280,"['recommend', 'using', 'chatgpt', 'app', 'experience', 'never', 'follows', 'instructions', 'properly', 'goes', 'direction', 'frustrating', 'ends', 'wasting', 'time', 'making', 'experience', 'annoying', 'rather', 'helpful', 'rubbish', 'ai', 'app']","['ChatGPT', 'own', 'frustrating', 'annoying', 'helpful', 'rubbish']","['recommend', 'using', 'follows', 'goes', 'ends', 'wasting', 'making', '’s']",False,['ux']
this so crazy 😧 it was cause people to be punk,1,negative,46,"['crazy', 'cause', 'people', 'punk']",['crazy'],['cause'],False,[]
not listings and not giving respect,1,negative,35,"['listings', 'giving', 'respect']",[],['giving'],False,[]
Chatgpt is one of the dumbest apps,2,negative,34,"['chatgpt', 'one', 'dumbest', 'apps']",['dumbest'],[],False,[]
ChatGPT gives my brain unthinking or brain rot right now just be careful how to use it.,1,negative,87,"['chatgpt', 'gives', 'brain', 'unthinking', 'brain', 'rot', 'right', 'careful', 'use']",['careful'],"['gives', 'rot', 'use']",False,[]
nice and wonderful app,1,negative,22,"['nice', 'wonderful', 'app']","['nice', 'wonderful']",[],False,[]
"locked behind a paywall, extremely disappointed.",1,negative,48,"['locked', 'behind', 'paywall', 'extremely', 'disappointed']",['disappointed'],['locked'],False,[]
"""I am writing to express my frustration with the recent 'attitude' of the AI. Lately, the responses have become overly restrictive, dismissive, and sometimes even stubborn. Instead of being a helpful assistant, the AI often feels like it's lecturing the user or refusing to engage in natural conversation. A more flexible and user-friendly tone would be much appreciated. Please focus on being more helpful rather than being 'preachy'."" thank you 🫶",1,negative,448,"['writing', 'express', 'frustration', 'recent', 'attitude', 'ai', 'lately', 'responses', 'become', 'overly', 'restrictive', 'dismissive', 'sometimes', 'even', 'stubborn', 'instead', 'helpful', 'assistant', 'ai', 'often', 'feels', 'like', 'lecturing', 'user', 'refusing', 'engage', 'natural', 'conversation', 'flexible', 'user', 'friendly', 'tone', 'would', 'much', 'appreciated', 'please', 'focus', 'helpful', 'rather', 'preachy', 'thank']","['recent', 'restrictive', 'dismissive', 'stubborn', 'helpful', 'natural', 'flexible', 'friendly', 'helpful']","['writing', 'express', 'become', 'feels', 'lecturing', 'refusing', 'engage', 'appreciated', 'focus', 'preachy', 'thank']",True,[]
good very nice app I like it very much,1,negative,38,"['good', 'nice', 'app', 'like', 'much']","['good', 'nice']",['like'],False,[]
Not trustable but sometimes can usefull,1,negative,39,"['trustable', 'sometimes', 'usefull']",['trustable'],['usefull'],False,[]
"This app has is a seach option for a chat that contains some phrase; however there is NO option for searching a phrase in the open chat. It is really an amateur application that lacks such a basic feature that even every simple app has. Really a shame. Next, the basic features completely missing: in the open chat there are no Go To Next Question, Go To Previous Question.",1,negative,373,"['app', 'seach', 'option', 'chat', 'contains', 'phrase', 'however', 'option', 'searching', 'phrase', 'open', 'chat', 'really', 'amateur', 'application', 'lacks', 'basic', 'feature', 'even', 'every', 'simple', 'app', 'really', 'shame', 'next', 'basic', 'features', 'completely', 'missing', 'open', 'chat', 'go', 'next', 'question', 'go', 'previous', 'question']","['open', 'amateur', 'basic', 'simple', 'basic', 'open', 'Previous']","['has', 'contains', 'is', 'searching', 'lacks', 'has', 'missing', 'are', 'Go']",False,[]
really poor performance these days,2,negative,34,"['really', 'poor', 'performance', 'days']",['poor'],[],False,[]
i have problem that you did not fix if we make a story and ask a question and the ai is not smart at that fix it and also do whatever we are saying also the app is not smart please make it smart and it will be smart i hope this message is helpful,1,negative,246,"['problem', 'fix', 'make', 'story', 'ask', 'question', 'ai', 'smart', 'fix', 'also', 'whatever', 'saying', 'also', 'app', 'smart', 'please', 'make', 'smart', 'smart', 'hope', 'message', 'helpful']","['smart', 'smart', 'smart', 'smart', 'helpful']","['have', 'fix', 'make', 'ask', 'do', 'saying', 'make', 'hope']",True,['bug']
it has it's annoying problem it could be better,1,negative,47,"['annoying', 'problem', 'could', 'better']","['annoying', 'better']",['has'],False,['ux']
its not as useful as it claims,2,negative,30,"['useful', 'claims']",['useful'],['claims'],False,[]
"The new update is very bad the worst update, because the limit for messages",1,negative,75,"['new', 'update', 'bad', 'worst', 'update', 'limit', 'messages']","['new', 'bad', 'worst']",[],True,['request']
I think chat gpt is behra hai,1,negative,29,"['think', 'chat', 'gpt', 'behra', 'hai']",[],['think'],False,[]
hey uh its 1 star because messages have been running out too quickly lately I remember being able to have full conversations for weeks now all it takes is a conversation for one day and all of a sudden it runs out which is kinda dumb please fix this,1,negative,249,"['hey', 'uh', 'star', 'messages', 'running', 'quickly', 'lately', 'remember', 'able', 'full', 'conversations', 'weeks', 'takes', 'conversation', 'one', 'day', 'sudden', 'runs', 'kinda', 'dumb', 'please', 'fix']","['able', 'full', 'sudden', 'dumb']","['running', 'remember', 'have', 'takes', 'runs', 'fix']",True,['bug']
he is asking for more update wrong,1,negative,34,"['asking', 'update', 'wrong']","['more', 'wrong']",['asking'],True,"['request', 'error']"
"this app is extremely dissatisfying and disappointing,a big somehow restores .e to a specific sentence of a Conversation, and it was frustrating because it deleted it . i was EXTREMELY furious at that. I hope chatgpt fixes that,and you have been ignoring my request and complaints for a long time now and it's kind of disappointing when you claim you're a really good app...",1,negative,374,"['app', 'extremely', 'dissatisfying', 'disappointing', 'big', 'somehow', 'restores', 'e', 'specific', 'sentence', 'conversation', 'frustrating', 'deleted', 'extremely', 'furious', 'hope', 'chatgpt', 'fixes', 'ignoring', 'request', 'complaints', 'long', 'time', 'kind', 'disappointing', 'claim', 'really', 'good', 'app']","['dissatisfying', 'disappointing', 'big', 'specific', 'frustrating', 'furious', 'long', 'disappointing', 'good']","['deleted', 'hope', 'ignoring', 'claim']",False,['ux']
previously it was so good. inorder to get more features i upgraded. After that it was so so good. But suddenly it stopped giving reliable informations. and also maked my works hectic. again forcing to upgrade to next level and that too only annual payment is there. means more than 12k we are suppose to pay. seriously he was my friend. but now everything changed. it became the worst ever AI. Guys dont upgrade and waste ur money. such useless,1,negative,444,"['previously', 'good', 'inorder', 'get', 'features', 'upgraded', 'good', 'suddenly', 'stopped', 'giving', 'reliable', 'informations', 'also', 'maked', 'works', 'hectic', 'forcing', 'upgrade', 'next', 'level', 'annual', 'payment', 'means', 'suppose', 'pay', 'seriously', 'friend', 'everything', 'changed', 'became', 'worst', 'ever', 'ai', 'guys', 'dont', 'upgrade', 'waste', 'ur', 'money', 'useless']","['good', 'more', 'good', 'reliable', 'hectic', 'next', 'only', 'annual', 'more', 'worst', 'such', 'useless']","['get', 'upgraded', 'stopped', 'giving', 'maked', 'forcing', 'upgrade', 'means', 'suppose', 'pay', 'changed', 'became', 'upgrade', 'waste']",False,['pricing']
forgets conversations and gives inaccurate advice and when I want to correct them with the right advice I have to wait cause my limit ran out.. and my limit was all wrong and bad information.. definitely feel this is a scam to get money. do not get this app and if you do double check what they say cause it is inaccurate most of the time,1,negative,338,"['forgets', 'conversations', 'gives', 'inaccurate', 'advice', 'want', 'correct', 'right', 'advice', 'wait', 'cause', 'limit', 'ran', 'limit', 'wrong', 'bad', 'information', 'definitely', 'feel', 'scam', 'get', 'money', 'get', 'app', 'double', 'check', 'say', 'cause', 'inaccurate', 'time']","['inaccurate', 'right', 'wrong', 'bad', 'double', 'inaccurate', 'most']","['gives', 'want', 'correct', 'have', 'wait', 'cause', 'ran', 'feel', 'get', 'get', 'do', 'check', 'say', 'cause']",False,"['request', 'error']"
"bro stop using ai if you want to live. literal billions liters of Freshwater is being used just to cool down the system and it has been declared that we have now entered into global water bankruptcy.And also all the data you have given it will be stored forever and may be used for illegal stuff, and chatgpt is always watching",1,negative,327,"['bro', 'stop', 'using', 'ai', 'want', 'live', 'literal', 'billions', 'liters', 'freshwater', 'used', 'cool', 'system', 'declared', 'entered', 'global', 'water', 'bankruptcy', 'also', 'data', 'given', 'stored', 'forever', 'may', 'used', 'illegal', 'stuff', 'chatgpt', 'always', 'watching']","['literal', 'global', 'illegal']","['stop', 'using', 'want', 'live', 'used', 'cool', 'declared', 'entered', 'given', 'stored', 'used', 'watching']",False,['request']
he's language that he speak always different like I ask what is story writing then he will tell me in urdu,1,negative,106,"['language', 'speak', 'always', 'different', 'like', 'ask', 'story', 'writing', 'tell', 'urdu']",['different'],"['speak', 'ask', 'tell']",False,[]
"Used to be the best app ever, now its just a condescending piece of trash. I hate the ChatGPT–5 update.",1,negative,103,"['used', 'best', 'app', 'ever', 'condescending', 'piece', 'trash', 'hate', 'chatgpt', 'update']",['best'],"['Used', 'condescending', 'hate']",True,['request']
"Hello, why is the GPT chat broken? Please fix it and see what the problem is, please 💔",2,negative,86,"['hello', 'gpt', 'chat', 'broken', 'please', 'fix', 'see', 'problem', 'please']",[],"['broken', 'fix', 'see']",True,['bug']
"I don't like it, when I chat chatgpt the new chat come and upgrade to go and plus",1,negative,81,"['like', 'chat', 'chatgpt', 'new', 'chat', 'come', 'upgrade', 'go', 'plus']",['new'],"['like', 'chat', 'come', 'upgrade', 'go']",False,['pricing']
"It was wery useful app, but now it became too lazy and stupid.",1,negative,62,"['wery', 'useful', 'app', 'became', 'lazy', 'stupid']","['useful', 'lazy', 'stupid']",['became'],False,[]
not secure your data here open AI is sharing data to killing humanity,1,negative,69,"['secure', 'data', 'open', 'ai', 'sharing', 'data', 'killing', 'humanity']",['open'],"['secure', 'sharing', 'killing']",False,[]
"4o sunset killed the spark. 5.1 sunset destroyed continuity (for me). Horrible decisions made by this company. I highly recommend staying away. Currently using their 5.4 model, and it does *not* compare to 4o or even 5.1 - constantly forgetting important details. Lots of unnecessary guardrails and treating the user like a child. Very negative experience after Feb 2026.",1,negative,371,"['sunset', 'killed', 'spark', 'sunset', 'destroyed', 'continuity', 'horrible', 'decisions', 'made', 'company', 'highly', 'recommend', 'staying', 'away', 'currently', 'using', 'model', 'compare', 'even', 'constantly', 'forgetting', 'important', 'details', 'lots', 'unnecessary', 'guardrails', 'treating', 'user', 'like', 'child', 'negative', 'experience', 'feb']","['Horrible', 'important', 'unnecessary', 'negative']","['killed', 'destroyed', 'made', 'recommend', 'staying', 'using', 'compare', 'forgetting', 'treating']",False,[]
Absolutely awful. Constantly gives me bad info or just makes things up. Relying on this bad info cost me money in real life.,1,negative,124,"['absolutely', 'awful', 'constantly', 'gives', 'bad', 'info', 'makes', 'things', 'relying', 'bad', 'info', 'cost', 'money', 'real', 'life']","['awful', 'bad', 'bad', 'real']","['gives', 'makes', 'Relying', 'cost']",False,[]
"(ChatGPT's data is inaccurate) I asked ChatGPT about the ""Dhurandhar 2 movie earnings,"" and it claimed the figure was ₹1,400 crore. Subsequently, I asked about ""Dhurandhar 1,"" to which it replied, ""There are no such films as Dhurandhar 2 or Dhurandhar; the ₹1,400 crore figure is also fake."" I then asked, ""How can you state this with such certainty?"" ChatGPT responded, ""No official trailer has been released for it, the cast has not engaged in any promotions, and it has not been released in theate",1,negative,500,"['chatgpt', 'data', 'inaccurate', 'asked', 'chatgpt', 'dhurandhar', 'movie', 'earnings', 'claimed', 'figure', 'crore', 'subsequently', 'asked', 'dhurandhar', 'replied', 'films', 'dhurandhar', 'dhurandhar', 'crore', 'figure', 'also', 'fake', 'asked', 'state', 'certainty', 'chatgpt', 'responded', 'official', 'trailer', 'released', 'cast', 'engaged', 'promotions', 'released', 'theate']","['inaccurate', 'such', 'fake', 'such', 'official']","['asked', 'claimed', 'asked', 'replied', 'are', 'asked', 'state', 'responded', 'released', 'engaged', 'released']",False,[]
it is refusing make to edit my friend's photo,2,negative,45,"['refusing', 'make', 'edit', 'friend', 'photo']",[],"['refusing', 'edit']",False,[]
"still can't unarchive i would unarchive then the content will be ""the conversation is too long please start a new one"" and not see the contents of the chat then once i refresh the chat goes back to archive. JUST SAY YOU DELETED IT",1,negative,230,"['still', 'unarchive', 'would', 'unarchive', 'content', 'conversation', 'long', 'please', 'start', 'new', 'one', 'see', 'contents', 'chat', 'refresh', 'chat', 'goes', 'back', 'archive', 'say', 'deleted']","['long', 'new']","['unarchive', 'unarchive', 'start', 'see', 'refresh', 'goes', 'SAY', 'DELETED']",True,[]
very worst . it is not even call to be AI giving wrong answer .,1,negative,63,"['worst', 'even', 'call', 'ai', 'giving', 'wrong', 'answer']",['wrong'],"['call', 'giving']",False,['error']
"can't even remember not to suggest movies out side of my plans , immediately after telling it. suggests movies I literally just told it I watched last week repeatedly. useless annoying ,not smart at all. if it can't even remember a movie suggestion in the same thread I worry about how much people rely on this for real life stuff",1,negative,330,"['even', 'remember', 'suggest', 'movies', 'side', 'plans', 'immediately', 'telling', 'suggests', 'movies', 'literally', 'told', 'watched', 'last', 'week', 'repeatedly', 'useless', 'annoying', 'smart', 'even', 'remember', 'movie', 'suggestion', 'thread', 'worry', 'much', 'people', 'rely', 'real', 'life', 'stuff']","['last', 'useless', 'annoying', 'smart', 'same', 'much', 'real']","['remember', 'suggest', 'telling', 'suggests', 'told', 'watched', 'remember', 'worry', 'rely']",False,['ux']
I cannot upload images in the app and he is asking for money and I cannot upload images ok I can not understand what I have to understand this is the very bad thing of this app.,1,negative,177,"['cannot', 'upload', 'images', 'app', 'asking', 'money', 'cannot', 'upload', 'images', 'ok', 'understand', 'understand', 'bad', 'thing', 'app']",['bad'],"['upload', 'asking', 'upload', 'understand', 'have', 'understand']",False,[]
even if I am an adult and I did the adult test it didn't even let me do adult content 😭,1,negative,87,"['even', 'adult', 'adult', 'test', 'even', 'let', 'adult', 'content']",[],"['did', 'let', 'do', '😭']",False,[]
it is good but not satisfying. And the edit image is not good enough either. This AI does not see or adjust the picture editing (like picking a random image and just applied to image just editing. They don't see from different parts or angles of the image,1,negative,255,"['good', 'satisfying', 'edit', 'image', 'good', 'enough', 'either', 'ai', 'see', 'adjust', 'picture', 'editing', 'like', 'picking', 'random', 'image', 'applied', 'image', 'editing', 'see', 'different', 'parts', 'angles', 'image']","['good', 'good', 'random', 'different']","['satisfying', 'see', 'adjust', 'picking', 'applied', 'editing', 'see']",False,[]
"can you give one word answers, yes I can give one word answers, from now on I will only use one word, are you ready, yes I am ready, just say the word and we will start..... absaloute joke, lies constantly, the worst a.i",1,negative,220,"['give', 'one', 'word', 'answers', 'yes', 'give', 'one', 'word', 'answers', 'use', 'one', 'word', 'ready', 'yes', 'ready', 'say', 'word', 'start', 'absaloute', 'joke', 'lies', 'constantly', 'worst']","['ready', 'ready', 'worst']","['give', 'give', 'use', 'say', 'start', 'lies']",False,[]
"I Hate it !!! I mean it doesn't have any recognition about recent or few things, like once I asked about a game named dispatch, but it has no idea about dispatch, I asked about another game Resident Evil Requiem, but it has no idea again!!! I hate it, why doesn't he has any idea !!? 😠😠😠",1,negative,287,"['hate', 'mean', 'recognition', 'recent', 'things', 'like', 'asked', 'game', 'named', 'dispatch', 'idea', 'dispatch', 'asked', 'another', 'game', 'resident', 'evil', 'requiem', 'idea', 'hate', 'idea']","['recent', 'few']","['Hate', 'mean', 'have', 'asked', 'named', 'has', 'asked', 'has', 'hate', 'has']",False,[]
it gives more of points and it helps me so much to take grand decisions,1,negative,71,"['gives', 'points', 'helps', 'much', 'take', 'grand', 'decisions']","['more', 'grand']","['gives', 'helps', 'take']",False,[]
"Public responsibility to understand this without correct help, or appearing on description.. Learn first, understand this will protect your personal information 🙏",1,negative,162,"['public', 'responsibility', 'understand', 'without', 'correct', 'help', 'appearing', 'description', 'learn', 'first', 'understand', 'protect', 'personal', 'information']","['Public', 'correct', 'personal']","['understand', 'appearing', 'Learn', 'understand', 'protect', '🙏']",False,[]
"The app keeps retarding. I could find old chats using the search bar before, but it is now just a design and doesn't work. but the app comes in handy sometimes, but trusting it most times has risks.",2,negative,198,"['app', 'keeps', 'retarding', 'could', 'find', 'old', 'chats', 'using', 'search', 'bar', 'design', 'work', 'app', 'comes', 'handy', 'sometimes', 'trusting', 'times', 'risks']","['old', 'handy', 'most']","['keeps', 'retarding', 'find', 'using', 'work', 'comes', 'trusting', 'has']",False,[]
there is no option to move a chat from 1 project folder to another project folder,1,negative,81,"['option', 'move', 'chat', 'project', 'folder', 'another', 'project', 'folder']",[],"['is', 'move']",False,[]
Clever app. Don't follow blindly. Try not to depend on it as it is a clever and fake answer giving machine.,1,negative,107,"['clever', 'app', 'follow', 'blindly', 'try', 'depend', 'clever', 'fake', 'answer', 'giving', 'machine']","['Clever', 'clever', 'fake']","['follow', 'Try', 'depend', 'giving']",False,[]
Chat gpt is very helpful app,2,negative,28,"['chat', 'gpt', 'helpful', 'app']",['helpful'],[],False,[]
"it's good but I do suggest that when you re-upload the same photo to try and get a better response, you won't get one of those messages where it says that you have to wait until a specific time! I just don't want it to be very time consuming. this has really helped me develop making my OCS (if you didn't know, I draw mostly semi realistic drawings!)",1,negative,351,"['good', 'suggest', 'upload', 'photo', 'try', 'get', 'better', 'response', 'get', 'one', 'messages', 'says', 'wait', 'specific', 'time', 'want', 'time', 'consuming', 'really', 'helped', 'develop', 'making', 'ocs', 'know', 'draw', 'mostly', 'semi', 'realistic', 'drawings']","['good', 'same', 'better', 'specific', 'very', 'semi', 'realistic']","['suggest', 're', '-', 'upload', 'try', 'get', 'get', 'says', 'have', 'wait', 'want', 'consuming', 'helped', 'develop', 'making', 'know', 'draw']",False,['request']
"Worst and useless AI ever used.... can't even read pdf, gives answers basted on previous dates even if it happened a month ago, free version was much better than paid don't waste your money on this 😤",1,negative,199,"['worst', 'useless', 'ai', 'ever', 'used', 'even', 'read', 'pdf', 'gives', 'answers', 'basted', 'previous', 'dates', 'even', 'happened', 'month', 'ago', 'free', 'version', 'much', 'better', 'paid', 'waste', 'money']","['Worst', 'useless', 'previous', 'free', 'better']","['used', 'read', 'gives', 'basted', 'happened', 'paid', 'waste']",False,['pricing']
it used to be so good now it's just assssse,1,negative,43,"['used', 'good', 'assssse']","['good', 'assssse']",['used'],False,[]
wow what a nice changes i love it,1,negative,33,"['wow', 'nice', 'changes', 'love']",['nice'],['love'],False,[]
dont downlode this worst app always asking pro and telling limited limitedvthry telling to wait,1,negative,95,"['dont', 'downlode', 'worst', 'app', 'always', 'asking', 'pro', 'telling', 'limited', 'limitedvthry', 'telling', 'wait']","['worst', 'pro', 'limited']","['downlode', 'asking', 'telling', 'wait']",False,[]
"deleting it, due to the owner being a spineless coward",1,negative,54,"['deleting', 'due', 'owner', 'spineless', 'coward']",['spineless'],['deleting'],False,[]
no body should use this app,1,negative,27,"['body', 'use', 'app']",[],['use'],False,[]
"BS chatbot ever. Despite it having contextual understanding, it's math interface is problematic, so much that I can't scroll through the chat. Math interface doesn't show full calculation. Please fix this issue.",1,negative,211,"['bs', 'chatbot', 'ever', 'despite', 'contextual', 'understanding', 'math', 'interface', 'problematic', 'much', 'scroll', 'chat', 'math', 'interface', 'show', 'full', 'calculation', 'please', 'fix', 'issue']","['contextual', 'problematic', 'full']","['having', 'scroll', 'show', 'fix']",True,['bug']
"​""Unfortunately, the quality of the responses has significantly declined, becoming far too superficial. Additionally, the ambiguous privacy policy and the excessive permissions required are deeply concerning.""",2,negative,209,"['unfortunately', 'quality', 'responses', 'significantly', 'declined', 'becoming', 'far', 'superficial', 'additionally', 'ambiguous', 'privacy', 'policy', 'excessive', 'permissions', 'required', 'deeply', 'concerning']","['superficial', 'ambiguous', 'excessive']","['declined', 'becoming', 'required', 'concerning']",False,[]
"it's not that helpful , this app is killing the polar bears",1,negative,59,"['helpful', 'app', 'killing', 'polar', 'bears']","['helpful', 'polar']",['killing'],False,[]
"This AI is a total trickster. It lies constantly and with such confidence that if you don't already know the facts, you’ll be fooled. It never truly admits to lying; it just gives a fake apology then makes up a new lie. It’s dangerous because it preys on what you don't know. If you aren't careful, you’ll get tricked every single time. It has zero accountability and is honestly just a master of misinformation. Avoid this if you want the actual truth. It is not a tool; it’s a con.",1,negative,483,"['ai', 'total', 'trickster', 'lies', 'constantly', 'confidence', 'already', 'know', 'facts', 'fooled', 'never', 'truly', 'admits', 'lying', 'gives', 'fake', 'apology', 'makes', 'new', 'lie', 'dangerous', 'preys', 'know', 'careful', 'get', 'tricked', 'every', 'single', 'time', 'zero', 'accountability', 'honestly', 'master', 'misinformation', 'avoid', 'want', 'actual', 'truth', 'tool', 'con']","['total', 'such', 'fake', 'new', 'dangerous', 'careful', 'single', 'actual']","['lies', 'know', 'fooled', 'admits', 'lying', 'gives', 'makes', '’s', 'preys', 'know', 'tricked', 'has', 'Avoid', 'want', '’s']",False,['request']
I proved to it that it has no critical/abstract thinking while he was claiming the opposite. There are a lot of things it isn't capable of doing but says it is.,2,negative,160,"['proved', 'critical', 'abstract', 'thinking', 'claiming', 'opposite', 'lot', 'things', 'capable', 'says']","['critical', 'abstract', 'capable']","['proved', 'has', 'claiming', 'are', 'doing', 'says']",False,[]
Was great until the removed the speaker so you can't listen to the messages now.It's just a waste of time for me,1,negative,112,"['great', 'removed', 'speaker', 'listen', 'messages', 'waste', 'time']",['great'],"['removed', 'listen']",False,[]
it doesn't give me the correct information I need,1,negative,49,"['give', 'correct', 'information', 'need']",['correct'],"['give', 'need']",False,['request']
they don't give me what it want .,1,negative,33,"['give', 'want']",[],"['give', 'want']",False,['request']
"“Very disappointing experience. Earlier this app was very helpful for YouTubers, especially for content ideas and thumbnail creation. But now the quality has dropped a lot. It does not understand the thumbnail requirements properly and gives completely opposite designs from what is asked. Even after giving clear instructions, the results are not premium or usable. It has become harder instead of easier. Please improve understanding and output quality.”",1,negative,456,"['disappointing', 'experience', 'earlier', 'app', 'helpful', 'youtubers', 'especially', 'content', 'ideas', 'thumbnail', 'creation', 'quality', 'dropped', 'lot', 'understand', 'thumbnail', 'requirements', 'properly', 'gives', 'completely', 'opposite', 'designs', 'asked', 'even', 'giving', 'clear', 'instructions', 'results', 'premium', 'usable', 'become', 'harder', 'instead', 'easier', 'please', 'improve', 'understanding', 'output', 'quality']","['disappointing', 'helpful', 'opposite', 'clear', 'premium', 'usable', 'harder', 'easier']","['dropped', 'understand', 'gives', 'asked', 'giving', 'become', 'improve']",True,['request']
waste always error coming,1,negative,25,"['waste', 'always', 'error', 'coming']",[],['coming'],False,['bug']
it's a good app but sometimes it's take time to process,2,negative,55,"['good', 'app', 'sometimes', 'take', 'time', 'process']",['good'],"['take', 'process']",False,[]
seems to me like this app is very limited in what it could do one star very disappointed,1,negative,88,"['seems', 'like', 'app', 'limited', 'could', 'one', 'star', 'disappointed']","['limited', 'disappointed']",['seems'],False,[]
Why can't I login using google. It takes too long but still doesn't load to continue with Google.,1,negative,97,"['login', 'using', 'google', 'takes', 'long', 'still', 'load', 'continue', 'google']",[],"['login', 'using', 'takes', 'load', 'continue']",False,[]
"this app is useful, but it has become unusable. It's way too money hungry with passes and it keeps bugging and the only way to fix it is to spam message. Please fix the bugs its really annoying",2,negative,193,"['app', 'useful', 'become', 'unusable', 'way', 'money', 'hungry', 'passes', 'keeps', 'bugging', 'way', 'fix', 'spam', 'message', 'please', 'fix', 'bugs', 'really', 'annoying']","['useful', 'unusable', 'hungry', 'only', 'annoying']","['become', 'keeps', 'bugging', 'fix', 'spam', 'fix']",True,"['bug', 'ux']"
"Great AI, buggy app. The enter key now sends the message instead of adding a line break. Please fix this.",2,negative,105,"['great', 'ai', 'buggy', 'app', 'enter', 'key', 'sends', 'message', 'instead', 'adding', 'line', 'break', 'please', 'fix']","['Great', 'buggy']","['sends', 'adding', 'fix']",True,['bug']
it does not let me to to send photos to it so it should ask me questions so that's why I rated only two stars,2,negative,109,"['let', 'send', 'photos', 'ask', 'questions', 'rated', 'two', 'stars']",[],"['let', 'send', 'ask', 'rated']",False,[]
it gives wrong answers always. it is always hallucinating,1,negative,57,"['gives', 'wrong', 'answers', 'always', 'always', 'hallucinating']",['wrong'],"['gives', 'hallucinating']",False,['error']
"Rules change on this every day. It's not AI, its censored algorithms with inconsistent results daily",1,negative,100,"['rules', 'change', 'every', 'day', 'ai', 'censored', 'algorithms', 'inconsistent', 'results', 'daily']",['inconsistent'],"['change', 'censored']",False,[]
I would like go have a longer conversation,1,negative,42,"['would', 'like', 'go', 'longer', 'conversation']",[],"['go', 'have']",False,[]
"terrible. I asked ""how can I make an app look like something else. for example how to make a game look like the calander app and the AI refused to assist me with it, the app has too many safegaurds. Chatgpt is very frustrating to use. do not recommend this app",1,negative,260,"['terrible', 'asked', 'make', 'app', 'look', 'like', 'something', 'else', 'example', 'make', 'game', 'look', 'like', 'calander', 'app', 'ai', 'refused', 'assist', 'app', 'many', 'safegaurds', 'chatgpt', 'frustrating', 'use', 'recommend', 'app']","['terrible', 'many', 'frustrating']","['asked', 'make', 'look', 'make', 'look', 'refused', 'assist', 'has', 'use', 'recommend']",False,['ux']
working very slow and not allowing to ask questions 😞,1,negative,53,"['working', 'slow', 'allowing', 'ask', 'questions']",[],"['working', 'allowing', 'ask']",False,['ux']
"I am coming off of a ChatGPT Plus trial period. The app has literally switched to HARRASSMENT mode!I've only USED it ONCE today. It's saying ""you've reached your Free Chat with Images until 3:44am."" Well thanks, not trying to send an image ANYway. It's offering New Chat or Get Plus. If I tap New Chat it will literally START A NEW CHAT instead of allowing a normal dialogue. I was actually waiting to pay for the upgrade to control my payment due date but I don't think I will because of this!",1,negative,494,"['coming', 'chatgpt', 'plus', 'trial', 'period', 'app', 'literally', 'switched', 'harrassment', 'mode', 'used', 'today', 'saying', 'reached', 'free', 'chat', 'images', 'well', 'thanks', 'trying', 'send', 'image', 'anyway', 'offering', 'new', 'chat', 'get', 'plus', 'tap', 'new', 'chat', 'literally', 'start', 'new', 'chat', 'instead', 'allowing', 'normal', 'dialogue', 'actually', 'waiting', 'pay', 'upgrade', 'control', 'payment', 'due', 'date', 'think']","['ChatGPT', 'HARRASSMENT', 'NEW', 'normal', 'due']","['coming', 'switched', 'USED', 'saying', 'reached', 'trying', 'send', 'offering', 'Get', 'tap', 'START', 'allowing', 'waiting', 'pay', 'control', 'think']",False,['pricing']
